,change_index
2017-01,13102664.83564965
2017-02,25193984.14643425
2017-03,15085420.399914812
2017-04,14165674.364549743
2017-05,12298942.26709788
2017-06,11732345.20646357
2017-07,5451375.398680461
2017-08,8771533.233628528
2017-09,5523246.859535484
2017-10,4711921.023168536
2017-11,4338973.981637226
2017-12,3819174.0795305353
2018-01,8399409.815091942
2018-02,20162201.87553628
2018-03,22143150.456212737
2018-04,7183651.396373549
2018-05,8992991.261481881
2018-06,8973765.454661638
2018-07,9649548.081366748
2018-08,9668101.096465638
2018-09,9251519.820445947
2018-10,13034271.28054611
2018-11,8447075.723711073
2018-12,7735117.337021386
2019-01,9612819.693401393
2019-02,8877012.148484604
2019-03,7732635.261238229
2019-04,9124587.057573413
2019-05,14573480.521898374
2019-06,7857136.783594041
2019-07,9003955.714649007
2019-08,13882423.394872606
2019-09,9208798.984668905
2019-10,11028801.982919613
2019-11,9596712.359009242
2019-12,6902150.591451412
2020-01,1732131.9886224873
2020-02,1191854.5450040742
2020-03,1862980.8147231785
2020-04,788989.5957059774
2020-05,3515834.4032873353
2020-06,2668702.7487194296
2020-07,967619.4568830515
2020-08,1041076.2744885036
2020-09,3392086.988634431
2020-10,2165325.5993605214
2020-11,4221339.262379069
2020-12,1929462.1221067465
2021-01,831777.3358125109
2021-02,730056.5749181223
2021-03,857634.9706764638
2021-04,765706.5848700042
2021-05,4376287.439642741
2021-06,1207467.0175801648
2021-07,1856912.2359437472
2021-08,2949220.9598554224
2021-09,1894540.62876352
2021-10,1795161.4662486273
2021-11,916625.2054623737
2021-12,716453.3434283893
