,Chihuahua_ASCENDING
0,209090
1,3201
2,6683
3,4527
4,8660
5,8017
6,16314
7,6420
8,3733
9,18123
10,4075
11,4090
12,3934
13,19819
14,60595
15,66140
16,139018
17,106051
18,62813
19,109862
20,31845
21,366039
22,0
23,241573
24,154753
25,119201
26,127206
27,86734
28,123739
29,119860
30,169731
31,77785
32,135532
33,331790
34,138082
35,64176
36,10651
37,4726
38,2008
39,2529
40,8872
41,45545
42,2894
43,4781
44,1579
45,87876
46,2356
47,1209
48,2230
49,1799
50,1346
51,2977
52,11866
53,7447
54,83038
55,4076
56,18292
57,94669
58,11045
59,0
