,Chihuahua_DESCENDING
0,0
1,241519
2,24977
3,44065
4,34633
5,33239
6,80539
7,4771
8,53303
9,44498
10,32246
11,31225
12,32202
13,56483
14,116091
15,134899
16,132206
17,148069
18,159867
19,252170
20,51317
21,661992
22,336573
23,501640
24,398522
25,297875
26,322119
27,283087
28,343951
29,275789
30,356650
31,216479
32,249579
33,745025
34,364876
35,152640
36,4386
37,1631
38,2127
39,4357
40,3325
41,12530
42,1562
43,7141
44,4792
45,33600
46,695
47,1053
48,3287
49,2297
50,1543
51,3862
52,10612
53,7805
54,55742
55,2488
56,2095
57,11889
58,2697
59,1440
