,Durango_ASCENDING
0,30283
1,115970
2,188502
3,172800
4,134584
5,186898
6,0
7,0
8,9315
9,54040
10,20106
11,88359
12,62607
13,24818
14,126153
15,73954
16,129098
17,81067
18,46102
19,37946
20,13682
21,35242
22,394452
23,271464
24,0
25,85547
26,77701
27,71617
28,109028
29,117339
30,54141
31,97583
32,14558
33,55594
34,67178
35,32794
36,15257
37,20106
38,21467
39,4872
40,9029
41,30840
42,28900
43,6077
44,4442
45,5095
46,4220
47,2181
48,9507
49,14955
50,28668
51,15390
52,4486
53,175039
54,8893
55,6814
56,7409
