,Hermosillo_ASCENDING
0,106542
1,101413
2,641642
3,1340841
4,1187454
5,57191
6,61822
7,81529
8,79956
9,33211
10,85738
11,96211
12,81934
13,143973
14,0
15,0
16,2331262
17,1829522
18,964811
19,1163693
20,111784
21,392584
22,748594
23,647293
24,1717364
25,1592762
26,353469
27,434081
28,322908
29,239836
30,359815
31,491713
32,367714
33,458973
34,582441
35,386824
36,31261
37,162020
38,860008
39,44361
40,27160
41,23925
42,3834
43,13662
44,59309
45,171806
46,225448
47,17450
48,4569
49,11828
50,121387
51,128179
52,22089
53,18901
54,25682
55,50782
56,57327
