,La Paz_ASCENDING
0,43957
1,42787
2,69635
3,489705
4,420795
5,21647
6,19041
7,29300
8,24569
9,11585
10,19628
11,18933
12,24404
13,33929
14,0
15,0
16,239300
17,285558
18,195976
19,106342
20,57495
21,58674
22,106819
23,60102
24,173463
25,176956
26,57725
27,41272
28,39563
29,24475
30,43365
31,46412
32,58870
33,78364
34,47123
35,51316
36,2049
37,4060
38,2319
39,1751
40,2295
41,2783
42,1928
43,2143
44,2273
45,2249
46,1928
47,2310
48,3457
49,3042
50,2177
51,2406
52,1693
53,2316
54,1926
55,1531
56,2701
