,San Luis Potosí_ASCENDING
0,16170
1,15999
2,3691
3,19092
4,53188
5,17779
6,12027
7,43600
8,0
9,0
10,4284
11,3918
12,21223
13,28485
14,18572
15,64487
16,70844
17,26890
18,10720
19,16410
20,8065
21,21262
22,26083
23,40446
24,35384
25,20024
26,19638
27,19507
28,25614
29,20046
30,13622
31,16640
32,7868
33,5902
34,33379
35,12593
36,3243
37,1356
38,774
39,816
40,800
41,1017
42,1982
43,531
44,994
45,819
46,811
47,216
48,618
49,934
50,574
51,297
52,1781
53,610
54,4815
55,5802
56,1360
57,774
58,849
59,4582
